index,Country,Year,Stunted,Caloric_intake,GDP_per_capita,Population,Underweight,Undernourished_People,Mortality_Rate,Prevalence of wasting,Death_Rate,Number_of_wasted_children,Number_of_food_insecure_people,GHI,GHI_Severity_lvl
149,Bangladesh,2015,35.019999999999996,0.26,4337.3857,157830000.0,29.82,23300000.0,3.7971585,13.279999999999998,3.2,2736572.0,50900000.0,39.508117192073165,Alarming
150,Myanmar,2015,28.049999999999997,0.28,3748.2942,51483956.0,18.8,2100000.0,5.178597,6.65,4.02,301969.0,15800000.0,33.697309296657274,Serious
151,Iraq,2015,17.35,0.38,9371.214,37757812.0,5.55,6500000.0,2.976198,4.75,0.35,322692.0,97900000.0,19.88314397880385,Moderate
152,Nepal,2015,36.2,0.26,3260.035,27610328.0,27.575,1700000.0,3.5529943000000004,11.025,6.07,352224.0,8199999.999999999,34.09943541694659,Serious
153,Syria,2015,27.9,0.26,18893.909880263156,19205178.0,10.4,2200000.0,4.18151,11.5,0.72,356298.0,97900000.0,33.710259273633916,Serious
154,Israel,2015,24.59379585326954,0.2,37321.016,8007777.0,16.111339712918664,233899999.99999997,0.39327282,8.522046783625731,0.34,25600142.0,900000.0,48.174902588269944,Alarming
155,Japan,2015,7.1,0.17,40402.582,127250936.0,3.4,3999999.9999999995,0.27595934,2.3,0.35,124400.0,3300000.0,2.8656846154609945,Low
156,Mongolia,2015,10.7,0.25,11134.802,2964756.0,1.875,200000.0,1.9427027,1.175,0.01,4637.0,200000.0,9.365815798640451,Low
157,Yemen,2016,46.5,0.41,18893.909880263156,29274010.0,37.7,12300000.0,6.0459404,14.85,4.6,696998.0,14500000.0,52.603905900588856,Extremely Alarming
158,North Korea,2016,23.5,0.26,18893.909880263156,25389614.0,12.25,10500000.0,2.0,3.2500000000000004,1.83,63901.0,97900000.0,17.858203196299137,Moderate
159,South Korea,2016,24.59379585326954,0.22,39814.66,51309984.0,16.111339712918664,233899999.99999997,0.34243828000000004,8.522046783625731,0.16,25600142.0,2600000.0,47.9758686719733,Alarming
160,Bhutan,2016,33.5,0.2581818181818182,10587.57,749764.0,12.7,233899999.99999997,3.1870613,5.9,0.63,3929.0,97900000.0,60.522424861209736,Extremely Alarming
161,Japan,2016,7.1,0.17,40727.97,126993856.0,3.4,3999999.9999999995,0.2686671,2.3,0.34,124400.0,3400000.0,2.8371331013571,Low
162,Israel,2016,24.59379585326954,0.2,38251.297,8159015.0,16.111339712918664,233899999.99999997,0.38448188,8.522046783625731,0.33,25600142.0,900000.0,48.140483171547984,Alarming
163,Syria,2016,27.9,0.26,18893.909880263156,18964252.0,10.4,2600000.0,3.9764214,11.5,0.71,356298.0,97900000.0,32.9643232631781,Serious
164,India,2016,37.1,0.25,5789.678,1338636288.0,33.03333333333333,181100000.0,4.104287,17.733333333333334,1.64,25600142.0,97900000.0,67.68580467115747,Extremely Alarming
165,Iraq,2016,17.35,0.39,10404.204,38697940.0,5.55,6800000.0,2.8818896,4.75,0.32,322692.0,97900000.0,19.556685526970885,Moderate
166,Iran,2016,5.8,0.27,14968.595,83306232.0,4.199999999999999,5700000.0,1.4995877,4.15,0.32,243797.0,37700000.0,8.892164149144422,Low
167,Bangladesh,2016,35.019999999999996,0.26,4589.0938,159784576.0,29.82,22800000.0,3.599151,13.279999999999998,2.84,2736572.0,50900000.0,38.66153630854095,Alarming
168,Indonesia,2016,35.46666666666666,0.28,10519.295,261850176.0,18.733333333333334,17500000.0,2.6601171,12.0,16.16,3251343.0,19000000.0,33.36130044087003,Serious
169,Pakistan,2016,42.06666666666666,0.24,4746.718,213524848.0,28.76666666666667,24600000.0,7.3949294,10.833333333333336,4.32,4167102.0,25800000.0,54.590759577342865,Extremely Alarming
170,Singapore,2016,24.59379585326954,0.2581818181818182,91146.09,5711936.0,16.111339712918664,233899999.99999997,0.27106467,8.522046783625731,0.01,25600142.0,200000.0,47.69641755235014,Alarming
171,China,2016,7.433333333333334,0.19,13399.138,1401889664.0,2.9,233899999.99999997,0.9933474700000001,2.033333333333333,1.18,1974271.0,97900000.0,38.38086572551197,Alarming
172,Syria,2017,27.9,0.26,18893.909880263156,18983370.0,10.4,3200000.0,2.3926032,11.5,0.71,356298.0,97900000.0,26.84873474559476,Serious
173,Singapore,2017,24.59379585326954,0.2581818181818182,95310.336,5764489.0,16.111339712918664,233899999.99999997,0.2646414,8.522046783625731,0.01,25600142.0,200000.0,47.67126834113409,Alarming
174,South Korea,2017,24.59379585326954,0.22,40957.418,51511640.0,16.111339712918664,233899999.99999997,0.33305654,8.522046783625731,0.16,25600142.0,2800000.0,47.939136079254325,Alarming
175,Sri Lanka,2017,15.95,0.24,13584.193,21506816.0,23.3,1600000.0,0.7930187000000001,18.2,0.83,383878.0,1400000.0,21.066726792908746,Serious
176,Thailand,2017,13.433333333333332,0.24,17008.04,70898208.0,7.866666666666666,4800000.0,0.9851302,6.6000000000000005,1.01,273870.0,3300000.0,11.794752222934761,Moderate
177,Yemen,2017,46.5,0.41,18893.909880263156,30034386.0,37.7,12900000.0,6.026122,14.85,4.42,696998.0,14000000.0,52.61189016012033,Extremely Alarming
178,Pakistan,2017,42.06666666666666,0.24,4891.7197,216379648.0,28.76666666666667,23400000.0,7.177063,10.833333333333336,4.24,4167102.0,27800000.0,53.56658147568278,Extremely Alarming
179,Malaysia,2017,20.066666666666666,0.21,25935.143,31975812.0,13.4,1700000.0,0.8106817,9.733333333333333,1.23,299188.0,4800000.0,15.874349350755331,Moderate
180,Japan,2017,7.1,0.17,41444.215,126662464.0,3.4,3999999.9999999995,0.26158515,2.3,0.34,124400.0,4000000.0,2.8094049416547215,Low
181,Bangladesh,2017,35.019999999999996,0.26,4830.776,161793968.0,29.82,22000000.0,3.407044,13.279999999999998,2.61,2736572.0,50900000.0,37.79526791843308,Alarming
182,Israel,2017,24.59379585326954,0.2,39121.297,8309256.0,16.111339712918664,233899999.99999997,0.3753219,8.522046783625731,0.33,25600142.0,1000000.0,48.10461884204685,Alarming
183,Iraq,2017,17.35,0.39,9976.8545,39621156.0,5.55,6900000.0,2.7904284,4.75,0.3,322692.0,97900000.0,19.212848196998383,Moderate
184,Indonesia,2017,35.46666666666666,0.28,10941.921,264498848.0,18.733333333333334,15900000.0,2.5572803,12.0,15.68,3251343.0,20000000.0,32.73044779259651,Serious
185,Myanmar,2017,28.049999999999997,0.28,4312.9473,52288344.0,18.8,1600000.0,4.8071733,6.65,3.62,301969.0,15800000.0,32.17174704661164,Serious
186,Mongolia,2017,10.7,0.24,11431.498,3096033.0,1.875,200000.0,1.7612413,1.175,0.01,4637.0,200000.0,8.655334832378726,Low
187,Bhutan,2017,33.5,0.2581818181818182,10986.888,756130.0,12.7,233899999.99999997,3.0642877,5.9,0.58,3929.0,97900000.0,60.041725902866915,Extremely Alarming
188,Nepal,2017,36.2,0.26,3495.5288,28183424.0,27.575,1400000.0,3.2097733,11.025,5.66,352224.0,8900000.0,32.71282259918771,Serious
189,Iran,2018,5.8,0.27,14628.946,85617560.0,4.199999999999999,6200000.0,1.3980607,4.15,0.29,243797.0,34700000.0,8.565969109043719,Low
190,Israel,2018,24.59379585326954,0.2,39936.77,8456487.0,16.111339712918664,233899999.99999997,0.36502242,8.522046783625731,0.33,25600142.0,1100000.0,48.064292995875746,Alarming
191,Bhutan,2018,33.5,0.2581818181818182,11233.78,762104.0,12.7,233899999.99999997,2.9586618,5.9,0.56,3929.0,97900000.0,59.628165820699216,Extremely Alarming
192,Japan,2018,7.1,0.17,41739.203,126255872.0,3.4,3999999.9999999995,0.2543676,2.3,0.34,124400.0,4000000.0,2.781145863426281,Low
193,South Korea,2018,24.59379585326954,0.22,41965.89,51676900.0,16.111339712918664,233899999.99999997,0.32309136,8.522046783625731,0.16,25600142.0,2700000.0,47.90011912735507,Alarming
194,Nepal,2018,36.2,0.26,3719.3079,28506718.0,27.575,1300000.0,3.0632234,11.025,5.39,352224.0,9600000.0,32.12476831855313,Serious
195,India,2018,37.1,0.25,6436.1533,1369003264.0,33.03333333333333,179400000.0,3.6428986,17.733333333333334,1.3,25600142.0,97900000.0,65.63684147317434,Extremely Alarming
196,Singapore,2018,24.59379585326954,0.2581818181818182,98336.95,5814543.0,16.111339712918664,233899999.99999997,0.25412247,8.522046783625731,0.01,25600142.0,300000.0,47.63008327615366,Alarming
197,China,2018,7.433333333333334,0.19,15133.996,1417069440.0,2.9,233899999.99999997,0.8577589,2.033333333333333,1.12,1974271.0,97900000.0,37.84999195165348,Alarming
198,Syria,2018,27.9,0.26,18893.909880263156,19333464.0,10.4,3900000.0,2.3811839,11.5,0.68,356298.0,97900000.0,26.903867540110078,Serious
199,Malaysia,2018,20.066666666666666,0.21,26835.81,32399270.0,13.4,1400000.0,0.8013252000000001,9.733333333333333,1.2,299188.0,4900000.0,15.794925679341013,Moderate
200,North Korea,2018,23.5,0.26,18893.909880263156,25638152.0,12.25,10900000.0,1.82,3.2500000000000004,1.7,63901.0,97900000.0,17.210497293018484,Moderate
201,Yemen,2018,46.5,0.41,18893.909880263156,30790514.0,37.7,12700000.0,6.167291,14.85,4.44,696998.0,14200000.0,53.13608654878168,Extremely Alarming
202,Thailand,2018,13.433333333333332,0.24,17669.045,71127808.0,7.866666666666666,4700000.0,0.9420206000000001,6.6000000000000005,1.0,273870.0,3300000.0,11.611700682797071,Moderate
203,Sri Lanka,2018,15.95,0.24,13753.055,21580712.0,23.3,1500000.0,0.7584399,18.2,0.79,383878.0,1600000.0,20.917076135972586,Serious
204,Singapore,2019,24.59379585326954,0.2581818181818182,98283.31,5866408.0,16.111339712918664,233899999.99999997,0.23963065,8.522046783625731,0.01,25600142.0,300000.0,47.573343042272015,Alarming
205,China,2019,7.433333333333334,0.19,15977.764,1421864064.0,2.9,233899999.99999997,0.7979075,2.033333333333333,1.09,1974271.0,97900000.0,37.61565406765106,Alarming
206,Sri Lanka,2019,15.95,0.25,13639.021,21649664.0,23.3,1400000.0,0.7277492,18.2,0.77,383878.0,1900000.0,20.782648667245716,Serious
207,South Korea,2019,24.59379585326954,0.22,42758.59,51803832.0,16.111339712918664,233899999.99999997,0.31239748,8.522046783625731,0.17,25600142.0,2600000.0,47.85824907567748,Alarming
208,Syria,2019,27.9,0.26,18893.909880263156,20098252.0,10.4,4700000.0,2.262392,11.5,0.66,356298.0,97900000.0,26.552864648933287,Serious
209,Bhutan,2019,33.5,0.2581818181818182,11797.284,767467.0,12.7,233899999.99999997,2.8524048,5.9,0.51,3929.0,97900000.0,59.21213477480146,Extremely Alarming
210,North Korea,2019,23.5,0.26,18893.909880263156,25755442.0,12.25,11200000.0,1.7299999,3.2500000000000004,1.65,63901.0,97900000.0,16.900907250373066,Moderate
211,Iran,2019,5.8,0.27,14084.354,86564208.0,4.199999999999999,6000000.0,1.3494952,4.15,0.29,243797.0,36700000.0,8.34729262836103,Low
212,Iraq,2019,17.35,0.4,10299.316,41563524.0,5.55,7000000.0,2.6234567,4.75,0.26,322692.0,97900000.0,18.573362464649918,Moderate
213,India,2019,37.1,0.26,6608.624,1383112064.0,33.03333333333333,199700000.0,3.4329019,17.733333333333334,1.19,25600142.0,97900000.0,67.71008544459937,Extremely Alarming
214,Indonesia,2019,35.46666666666666,0.28,11857.789,269582880.0,18.733333333333334,16300000.0,2.3750138,12.0,14.53,3251343.0,15600000.0,32.07386779758047,Serious
215,Israel,2019,24.59379585326954,0.2,40810.055,8607922.0,16.111339712918664,233899999.99999997,0.3543312,8.522046783625731,0.32,25600142.0,1200000.0,48.022433358971604,Alarming
216,Yemen,2019,46.5,0.41,18893.909880263156,31546694.0,37.7,12300000.0,6.159503,14.85,4.47,696998.0,15600000.0,53.04854076937744,Extremely Alarming
217,Japan,2019,7.1,0.17,41697.41,125791680.0,3.4,3999999.9999999995,0.24680981,2.3,0.33,124400.0,4300000.0,2.751554633875516,Low
218,Pakistan,2019,42.06666666666666,0.25,5157.5464,223293280.0,28.76666666666667,29200000.0,6.7495565,10.833333333333336,3.5,4167102.0,54200000.0,52.72002458135236,Extremely Alarming
219,Myanmar,2019,28.049999999999997,0.28,4829.5366,53040212.0,18.8,1500000.0,4.4770675,6.65,3.31,301969.0,11800000.0,30.865011144458443,Serious
220,Mongolia,2019,10.7,0.24,12458.019,3232435.0,1.875,200000.0,1.6035735999999998,1.175,0.01,4637.0,200000.0,8.038014014594538,Low
221,Malaysia,2020,20.066666666666666,0.21,25830.973,33199988.0,13.4,1100000.0,0.7723872700000001,9.733333333333333,1.264,299188.0,5100000.0,15.63883427965398,Moderate
222,Syria,2020,27.9,0.26,18893.909880263156,20772602.0,10.4,5300000.0,2.2809062,11.5,0.697,356298.0,97900000.0,26.710933624483303,Serious
223,Pakistan,2020,42.06666666666666,0.27,5004.352,227196736.0,28.76666666666667,36300000.0,6.547601,10.833333333333336,4.082,4167102.0,74000000.0,52.9419968215503,Extremely Alarming
224,Bhutan,2020,33.5,0.2581818181818182,10547.052,772512.0,12.7,233899999.99999997,2.7549222,5.9,0.749,3929.0,97900000.0,58.83045838609452,Extremely Alarming
225,Mongolia,2020,10.7,0.24,11666.779,3294340.0,1.875,200000.0,1.535289,1.175,0.014000000000000002,4637.0,200000.0,7.770657383438845,Low
226,Myanmar,2020,28.049999999999997,0.28,4947.0938,53423200.0,18.8,1800000.0,4.3236055,6.65,4.246,301969.0,13600000.0,30.306946924754953,Serious
227,Thailand,2020,13.433333333333332,0.26,16848.584,71475664.0,7.866666666666666,3999999.9999999995,0.8628443500000001,6.6000000000000005,1.04,273870.0,4500000.0,11.201856561779195,Moderate
228,China,2020,7.433333333333334,0.19,16296.779,1424929792.0,2.9,233899999.99999997,0.74388134,2.033333333333333,1.112,1974271.0,97900000.0,37.404123911043584,Alarming
229,Yemen,2020,46.5,0.41,18893.909880263156,32284044.0,37.7,11600000.0,5.968574,14.85,5.151999999999999,696998.0,18900000.0,52.20114793660926,Extremely Alarming
230,North Korea,2020,23.5,0.26,18893.909880263156,25867474.0,12.25,11400000.0,1.65,3.2500000000000004,1.9829999999999999,63901.0,97900000.0,16.616207973898444,Moderate
231,India,2020,37.1,0.29,6114.0317,1396387072.0,33.03333333333333,222100000.0,3.2376912,17.733333333333334,2.1220000000000003,25600142.0,97900000.0,70.14075077228654,Extremely Alarming
232,Israel,2020,24.59379585326954,0.21,39351.895,8757487.0,16.111339712918664,233899999.99999997,0.34435076,8.522046783625731,0.349,25600142.0,1200000.0,47.98335665916152,Alarming
233,Iraq,2020,17.35,0.4,8919.798,42556988.0,5.55,7000000.0,2.5357888,4.75,0.384,322692.0,97900000.0,18.23011384923013,Moderate
234,Iran,2020,5.8,0.27,14432.362,87290192.0,4.199999999999999,5400000.0,1.3046858,4.15,0.358,243797.0,37000000.0,8.086269310432714,Low
235,Indonesia,2020,35.46666666666666,0.28,11515.74,271857984.0,18.733333333333334,16500000.0,2.293901,12.0,16.081,3251343.0,13900000.0,31.784811152170345,Serious
236,Singapore,2020,24.59379585326954,0.2581818181818182,94505.63,5909874.0,16.111339712918664,233899999.99999997,0.22339907,8.522046783625731,0.009999999999999998,25600142.0,300000.0,47.50979107671706,Alarming
237,Sri Lanka,2020,15.95,0.27,13095.761,21715076.0,23.3,1200000.0,0.7003899999999998,18.2,0.9339999999999999,383878.0,2200000.0,20.647001814433395,Serious
238,Nepal,2020,36.2,0.28,3761.8027,29348626.0,27.575,1500000.0,2.8194368,11.025,6.308,352224.0,11100000.0,31.198790330039365,Serious
239,Bangladesh,2020,35.019999999999996,0.25,5591.374,167420944.0,29.82,19500000.0,2.8767538,13.279999999999998,3.65,2736572.0,53100000.0,35.362425144406515,Alarming
240,South Korea,2020,24.59379585326954,0.22,42396.76,51844688.0,16.111339712918664,233899999.99999997,0.30086482,8.522046783625731,0.16699999999999998,25600142.0,2800000.0,47.81309492487534,Alarming
241,Japan,2020,7.1,0.17,39935.465,125244760.0,3.4,3300000.0,0.23872714,2.3,0.352,124400.0,4700000.0,2.620065223079234,Low
242,Yemen,2021,46.5,0.3972727272727273,18893.909880263156,32981644.0,37.7,11400000.0,6.190894,14.85,5.151999999999999,696998.0,22200000.0,53.043077137279695,Extremely Alarming
243,Bangladesh,2021,35.019999999999996,0.2581818181818182,5911.013,169356240.0,29.82,18900000.0,2.727363,13.279999999999998,3.65,2736572.0,52700000.0,34.69193130478597,Serious
244,Bhutan,2021,33.5,0.2581818181818182,10907.856,777500.0,12.7,233899999.99999997,2.6687412,5.9,0.749,3929.0,97900000.0,58.4930314724181,Extremely Alarming
245,Vietnam,2021,24.14545454545454,0.280909090909091,10628.219,97468024.0,13.845454545454546,4900000.0,2.060163,5.955555555555556,0.16700000000000004,503988.0,8700000.0,19.762795744297577,Moderate
246,Japan,2021,7.1,0.16999999999999998,40784.383,124612528.0,3.4,3999999.9999999995,0.23023768,2.3,0.352,124400.0,5500000.0,2.6866693032464406,Low
247,India,2021,37.1,0.2545454545454545,6592.042,1407563904.0,33.03333333333333,233899999.99999997,3.0619214,17.733333333333334,2.1220000000000003,25600142.0,97900000.0,71.13562375121086,Extremely Alarming
248,Indonesia,2021,35.46666666666666,0.2763636363636364,11858.146,273753184.0,18.733333333333334,16200000.000000002,2.2173412,12.0,16.081,3251343.0,13400000.0,31.442264494159556,Serious
249,Iran,2021,5.8,0.27,15004.6875,87923432.0,4.199999999999999,5300000.0,1.2631342,4.15,0.358,243797.0,35900000.0,7.909317851885028,Low
250,Iraq,2021,17.35,0.3872727272727273,8962.395,43533592.0,5.55,7100000.0,2.4521646,4.75,0.384,322692.0,97900000.0,17.916960947640703,Moderate
251,Israel,2021,24.59379585326954,0.2009090909090909,42061.242,8900057.0,16.111339712918664,233899999.99999997,0.33565947,8.522046783625731,0.349,25600142.0,1200000.0,47.949327404910974,Alarming
252,Mongolia,2021,10.7,0.24545454545454548,11668.431,3347782.0,1.875,300000.0,1.4734358,1.175,0.014000000000000002,4637.0,200000.0,7.542745095646539,Low
253,Myanmar,2021,28.049999999999997,0.2800000000000001,4032.6257,53798088.0,18.8,2100000.0,4.181237,6.65,4.246,301969.0,15800000.0,29.79231740024959,Serious
254,Nepal,2021,36.2,0.2618181818181818,3831.9485,30034988.0,27.575,1600000.0,2.716347,11.025,6.308,352224.0,11200000.0,30.809423212661546,Serious
255,Pakistan,2021,42.06666666666666,0.24727272727272728,5232.1426,231402112.0,28.76666666666667,42800000.0,6.333255,10.833333333333336,4.082,4167102.0,97900000.0,53.02987638249647,Extremely Alarming
256,Malaysia,2021,20.066666666666666,0.21636363636363634,26333.156,33573872.0,13.4,900000.0,0.7556127300000001,9.733333333333333,1.264,299188.0,5400000.0,15.544629846355406,Moderate
257,North Korea,2021,23.5,0.25999999999999995,18893.909880263156,25971910.0,12.25,11800000.0,1.54,3.2500000000000004,1.9829999999999999,63901.0,97900000.0,16.24257505604787,Moderate
258,Syria,2021,27.9,0.25999999999999995,18893.909880263156,21324366.0,10.4,5900000.0,2.2272444,11.5,0.697,356298.0,97900000.0,26.586409860084736,Serious
259,China,2021,7.433333333333334,0.19272727272727275,17602.695,1425893504.0,2.9,233899999.99999997,0.69345915,2.033333333333333,1.112,1974271.0,97900000.0,37.20670448039755,Alarming
260,Thailand,2021,13.433333333333332,0.24090909090909085,17077.043,71601104.0,7.866666666666666,3700000.0000000005,0.8291029000000002,6.6000000000000005,1.04,273870.0,5100000.0,11.026957803992547,Moderate
261,Sri Lanka,2021,15.95,0.24363636363636365,13386.682,21773438.0,23.3,1100000.0,0.6748074000000001,18.2,0.9339999999999999,383878.0,2400000.0,20.532574234519036,Serious
262,Singapore,2021,24.59379585326954,0.2581818181818182,106032.23,5941063.0,16.111339712918664,233899999.99999997,0.20883267,8.522046783625731,0.009999999999999998,25600142.0,400000.0,47.45275883764607,Alarming
263,South Korea,2021,24.59379585326954,0.22000000000000003,44232.207,51830136.0,16.111339712918664,233899999.99999997,0.28881985,8.522046783625731,0.16699999999999998,25600142.0,2900000.0,47.7659349121994,Alarming
264,Vietnam,2022,24.14545454545454,0.280909090909091,8457.2882,97468024.0,13.845454545454546,8700000.0,2.1803498,5.955555555555556,0.16700000000000004,503988.0,8700000.0,20.775371951284455,Serious
265,Yemen,2022,46.5,0.3972727272727273,18893.909880263156,32981644.0,37.7,12900000.0,6.000957933333333,14.85,5.151999999999999,696998.0,22200000.0,52.51336457616469,Extremely Alarming
266,Japan,2022,7.1,0.16999999999999998,40082.98975,128105432.0,3.4,3999999.9999999995,0.274429785,2.3,0.352,124400.0,5500000.0,2.8596959053862876,Low
267,Israel,2022,24.59379585326954,0.2009090909090909,37946.24575,8900057.0,16.111339712918664,233899999.99999997,0.3910311116666667,8.522046783625731,0.349,25600142.0,1200000.0,48.166125564050226,Alarming
268,Iraq,2022,17.35,0.3872727272727273,9379.244958333335,43533592.0,5.55,7100000.0,2.9470193250000007,4.75,0.384,322692.0,97900000.0,19.85447968813968,Moderate
269,Iran,2022,5.8,0.27,14657.382124999998,87923432.0,4.199999999999999,6200000.0,1.55242695,4.15,0.358,243797.0,39200000.0,9.170363666002935,Low
270,Indonesia,2022,35.46666666666666,0.2763636363636364,10267.688500000002,273753184.0,18.733333333333334,32200000.000000004,2.7478933916666666,12.0,16.081,3251343.0,20000000.0,35.80167862283476,Alarming
271,India,2022,37.1,0.2545454545454545,5504.591299999999,1407563904.0,33.03333333333333,233899999.99999997,4.311491608333334,17.733333333333334,2.1220000000000003,25600142.0,97900000.0,76.02810142981652,Extremely Alarming
272,Bhutan,2022,33.5,0.2581818181818182,9959.243708333333,777500.0,12.7,233899999.99999997,3.3287944250000003,5.9,0.749,3929.0,97900000.0,61.07735658553951,Extremely Alarming
273,Bangladesh,2022,35.019999999999996,0.2581818181818182,4552.236466666666,169356240.0,29.82,24200000.0,3.742034691666667,13.279999999999998,3.65,2736572.0,53100000.0,39.420659086562964,Alarming
274,China,2022,7.433333333333334,0.19272727272727275,13096.250916666666,1425893504.0,2.9,233899999.99999997,1.0720374383333333,2.033333333333333,1.112,1974271.0,97900000.0,38.68896279043361,Alarming
275,Singapore,2022,24.59379585326954,0.2581818181818182,90664.29683333333,5941063.0,16.111339712918664,233899999.99999997,0.26075545083333335,8.522046783625731,0.009999999999999998,25600142.0,400000.0,47.65605357414355,Alarming
276,Thailand,2022,13.433333333333332,0.24090909090909085,16114.335583333335,71601104.0,7.866666666666666,6600000.0,1.0691504625,6.6000000000000005,1.04,273870.0,5100000.0,12.380458549291168,Moderate
277,Syria,2022,27.9,0.25999999999999995,18893.909880263156,22730734.0,10.4,5900000.0,3.0494506,11.5,0.697,356298.0,97900000.0,29.805617115414968,Serious
278,Sri Lanka,2022,15.95,0.24363636363636365,12242.859750000001,21773438.0,23.3,2900000.0,0.8770156983333334,18.2,0.9339999999999999,383878.0,2400000.0,21.58102552977485,Serious
279,South Korea,2022,24.59379585326954,0.22000000000000003,39314.62841666667,51844688.0,16.111339712918664,233899999.99999997,0.34850903166666664,8.522046783625731,0.16699999999999998,25600142.0,2900000.0,47.999637658160275,Alarming
280,Malaysia,2022,20.066666666666666,0.21636363636363634,24171.871166666668,33573872.0,13.4,1900000.0,0.8007250349999998,9.733333333333333,1.264,299188.0,5400000.0,15.863892338932569,Moderate
281,Mongolia,2022,10.7,0.24545454545454548,10739.575166666664,3347782.0,1.875,400000.0,1.9474329583333336,1.175,0.014000000000000002,4637.0,200000.0,9.41286291431411,Low
282,Pakistan,2022,42.06666666666666,0.24727272727272728,4638.307191666667,231402112.0,28.76666666666667,42800000.0,7.5193446166666655,10.833333333333336,4.082,4167102.0,97900000.0,57.67380670003139,Extremely Alarming
283,North Korea,2022,23.5,0.25999999999999995,18893.909880263156,25971910.0,12.25,11800000.0,2.1400000166666664,3.2500000000000004,1.9829999999999999,63901.0,97900000.0,18.591772139275403,Moderate
284,Nepal,2022,36.2,0.2618181818181818,3308.5486416666668,30034988.0,27.575,2800000.0,3.537083725,11.025,6.308,352224.0,11200000.0,34.19403659717805,Serious
285,Myanmar,2022,28.049999999999997,0.2800000000000001,3886.7032999999997,53798088.0,18.8,5000000.0,5.150051066666667,6.65,4.246,301969.0,15800000.0,33.999178309525306,Serious
